"No.","Time","Source","Destination","Protocol","Length","Info"
"4492","163.031911801","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3310483 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4493","163.031927050","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3311875 Win=2176768 Len=0 TSval=3603674549 TSecr=2605138435"
"4494","163.031949181","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3311875 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4495","163.031960995","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3313267 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4496","163.031966438","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3314659 Win=2176768 Len=0 TSval=3603674549 TSecr=2605138435"
"4497","163.031975388","173.194.163.223","192.168.1.65","TLSv1.2","1458","Application Data [TCP segment of a reassembled PDU]"
"4498","163.031983607","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3316051 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4499","163.031988432","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3317443 Win=2176768 Len=0 TSval=3603674549 TSecr=2605138435"
"4500","163.031996183","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3317443 Ack=6440 Win=78592 Len=1392 TSval=2605138435 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4501","163.032004472","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3318835 Ack=6440 Win=78592 Len=1392 TSval=2605138436 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4502","163.032009173","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3320227 Win=2176768 Len=0 TSval=3603674549 TSecr=2605138435"
"4503","163.032017108","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3320227 Ack=6440 Win=78592 Len=1392 TSval=2605138436 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4504","163.032025053","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3321619 Ack=6440 Win=78592 Len=1392 TSval=2605138436 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4505","163.032029560","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3323011 Win=2176768 Len=0 TSval=3603674549 TSecr=2605138436"
"4506","163.032037268","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3323011 Ack=6440 Win=78592 Len=1392 TSval=2605138436 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4507","163.032045547","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3324403 Ack=6440 Win=78592 Len=1392 TSval=2605138436 TSecr=3603674460 [TCP segment of a reassembled PDU]"
"4508","163.032050098","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=6440 Ack=3325795 Win=2176768 Len=0 TSval=3603674549 TSecr=2605138436"
"4509","163.032057859","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3325795 Ack=6440 Win=78592 Len=1392 TSval=2605138436 TSecr=3603674460 [TCP segment of a reassembled PDU]"
